Login,Number,IssueNumber,IssueCount,IssueLabels,Events,FirstTime,Pulls,Commits,Additions,Deletions,ChangedFiles,Comments,ReviewComments
wangrunyu,1314080901229,55,1,Com2,6,2016-06-14T15:30:54Z,6,6,532,7,17,0,0
zengsn,null,95,17,实验,28,2016-05-10T05:25:09Z,2,2,1,5,5,0,0
phmmm,1314080901127,193,2,Done Com1,12,2016-04-14T07:56:11Z,5,9,554,100,21,1,0
Mepeekaboo,null,54,1,Com2,0,,5,0,0,0,0,0,0
lin,1314080903228,0,0,,0,,0,0,0,0,0,0,0
soleMemory,1314080903234,20,1,Book Done Net2,27,2016-04-15T14:02:36Z,9,30,890,32,25,1,0
Hello,1314080903222,0,0,,0,,0,0,0,0,0,0,0
chenbinsong,1314080903102,130,1,Done Net1,6,2016-04-27T16:16:34Z,2,3,206,12,10,1,0
barnettfish,null,138,1,,0,,0,0,0,0,0,0,0
jiangwenjun123,1314080903218,971,1,Done Net2,3,2016-06-15T13:44:23Z,2,2,220,0,4,0,0
xinxin06,1314080901106,48,1,Done Com1,13,2016-04-13T08:32:14Z,6,8,197,66,10,2,0
SimpleCodeCX,1314080901208,10,1,Com2,6,2016-04-12T17:47:59Z,6,14,861,87,49,3,0
lgl994756717,1314080903120,546,1,Good Done Net1,6,2016-04-28T09:51:17Z,3,3,1964,3,32,0,0
l651640527,1314080901120,166,1,C Done Com1,3,2016-06-15T08:18:48Z,2,2,586,0,30,1,0
SilentIce,1314080903209,18,1,Done Net2,13,2016-04-20T03:02:24Z,6,16,241,46,12,1,0
lotochan,1314080903205,77,1,Done Net2,15,2016-04-22T11:54:01Z,6,10,297,19,11,3,0
huangxusheng,1314080903113,290,1,Done Net1,6,2016-04-27T15:20:22Z,2,4,204,0,7,0,0
ranineTAO,null,65,1,Com1,7,2016-04-13T08:39:57Z,4,1,1508,0,29,0,0
zxm94,1314080903144,98,1,Done Net1,8,2016-04-27T04:44:07Z,4,4,222,30,10,2,0
hewq,1314080901111,74,1,Book Com1,11,2016-04-13T08:27:19Z,8,3,1257,64,87,1,0
13WZH,null,121,1,Done Net2,7,2016-05-05T10:07:40Z,5,15,3555,0,33,0,0
zhongliang8851,1314080901210,66,1,Book Com2,8,2016-04-14T08:03:58Z,6,6,866,37,15,2,0
LINHZU,1314080903145,692,2,Done Net1,8,2016-05-25T13:19:23Z,7,10,453,13,10,0,0
LGSEN,1314080903129,99,1,Done Net1,7,2016-04-26T10:42:52Z,3,4,1037,0,66,0,0
DUDUfine,1314080901104,257,1,Book Good Done Com1,6,2016-04-20T09:08:37Z,3,7,575,40,16,2,0
chencongzhen,1314080903103,143,1,Done Net1,5,2016-04-27T13:19:02Z,3,4,590,0,8,1,0
RImpression,1314080903118,41,1,Book Done Net1,9,2016-04-13T02:51:38Z,4,7,1643,91,24,2,0
pilimachao,1314080901238,210,1,Com2,9,2016-06-14T16:55:09Z,2,7,500,21,18,0,0
zhapingzi,1314080903149,49,1,Done Net1,8,2016-04-27T01:20:49Z,3,5,505,1,12,0,0
Zhang41,1314080903141,42,1,Done Net1,9,2016-04-27T08:55:50Z,5,6,281,83,13,2,0
Perkin-liu,1314080903229,135,1,Done Net2,4,2016-04-27T01:48:06Z,1,4,1091,0,14,0,0
1245183042,1314080903131,429,1,Done Net1,0,,3,2,241,5,5,2,0
isshe,1314080903212,12,1,Book Good Done Net2,18,2016-04-20T00:26:33Z,9,16,698,146,31,5,0
Pyanz,1314080901227,0,0,,0,,9,8,811,233,26,4,0
Jeting72,1314080901125,172,1,Done Com1,12,2016-04-19T07:03:05Z,6,7,521,51,16,2,0
DaveXander,1314080903243,8,1,Done Net2,4,2016-04-20T14:06:25Z,2,4,855,0,5,1,0
chzayi,1314080901209,75,1,Book Done Com2,5,2016-05-19T04:37:26Z,2,7,903,1,16,2,0
xieGF,1314080903242,117,1,C Done Net2,7,2016-04-28T07:03:39Z,4,5,151,7,7,1,0
BlackMamba1024B,1314080903241,81,1,Done Net2,10,2016-04-27T04:22:30Z,4,7,126,0,6,3,0
linxiaohao123,1314080903226,21,1,Done Net2,20,2016-04-27T11:18:29Z,7,30,862,30,28,1,0
GaryGuo321,null,766,1,Done Net1,0,,0,0,0,0,0,0,0
baoleng5980,1314080901203,73,1,Com2,0,,3,2,34,0,2,1,0
Xyy0135,1314080903135,0,0,,0,,2,2,976,0,20,0,0
woyizhidouzai,1314080903217,0,0,,0,,0,0,0,0,0,0,0
qq379701982,1314080901219,101,1,Done Com2,6,2016-04-19T06:49:00Z,5,8,296,15,12,4,0
meture,1314080903119,374,1,Good Done Net1,7,2016-04-28T09:07:20Z,4,15,1147,11,40,1,0
canshengLIN,1314080903224,84,1,Done Net2,8,2016-04-20T14:31:22Z,3,6,825,8,8,1,0
freedom0,1314080903220,150,1,Book Done Net2,24,2016-04-15T08:24:14Z,12,34,1530,13,24,1,0
zengyt,1314080901201,71,1,Book Com2,10,2016-04-15T08:05:47Z,8,10,568,176,17,3,0
zhongdingjun,1314080901146,363,1,Done,19,2016-04-24T12:34:55Z,16,7,272,31,15,0,0
lst1297907919,1314080901122,164,1,Done Com1,3,2016-05-10T13:44:44Z,2,3,355,53,18,0,0
zhenglide,1314080901107,23,1,Done Com1,5,2016-04-13T11:01:56Z,4,4,523,2,9,1,0
baijihui416,1314080901101,181,1,Good Done Com1,12,2016-04-13T08:37:30Z,6,7,950,29,39,1,0
lalamili,1314080901114,175,2,Done Com1,6,2016-04-20T08:20:16Z,4,4,71,48,5,1,0
linshengze,1314080903227,140,1,Done Net2,10,2016-04-21T16:12:27Z,5,9,470,0,13,0,0
WCTNOC,1314080903112,125,1,Book Done Net1,23,2016-04-22T03:27:35Z,9,11,546,12,36,1,0
zyd0729,null,229,1,,3,2016-04-15T13:32:17Z,2,0,0,0,0,0,0
16huangkai,1314080903216,72,1,Book Done Net2,12,2016-04-20T12:58:54Z,5,5,274,81,8,0,0
zyz1995,1314080903147,362,1,Done Net1,5,2016-04-28T10:07:48Z,2,5,381,6,14,1,0
ZaakLim,1314080903125,82,1,Book Done Net1,14,2016-04-22T04:33:20Z,6,11,258,42,6,0,0
wmll,1314080903126,296,1,Book Done Net1,9,2016-05-04T15:42:59Z,5,3,707,0,23,1,0
hebinhai,1314080901110,50,1,Book Done Com1,15,2016-04-13T09:05:21Z,9,17,1083,198,47,4,0
wstever,1314080901233,29,1,Book Com2,0,,2,1,23,0,1,1,0
caixuhang,1314080903201,86,1,C Done Net2,12,2016-04-21T15:30:23Z,5,13,547,0,11,0,0
JERR-lxm,1314080903122,550,1,Done Net1,7,2016-04-29T05:01:16Z,4,4,1672,18,32,1,0
Liuzhuanglin,1314080903128,378,2,Done Net1,9,2016-04-27T14:07:40Z,4,5,542,2,9,1,0
wasonchan,1314080903104,664,2,Done Net1,2,2016-05-13T04:55:42Z,1,1,290,0,11,0,0
WL101ZYF,1314080903101,38,1,Book Done Net1,11,2016-04-21T01:42:38Z,7,14,371,96,11,2,0
adislj,null,136,1,Done Net2,7,2016-04-27T05:59:53Z,3,7,250,0,7,2,0
liwenjie0,1314080901221,27,1,Done Com2 Late,5,2016-04-17T04:59:16Z,6,16,778,114,27,4,0
happycaitou,1314080901103,157,1,Book Good Done Com1,15,2016-04-13T07:43:28Z,6,11,2224,85,49,1,0
mengyi520,1314080903214,13,1,Done Net2,28,2016-04-22T04:13:37Z,6,7,697,26,15,2,0
fengxiangqian00,1314080903210,233,1,,8,2016-05-04T01:21:07Z,5,7,304,5,7,2,0
cgx405,1314080903108,569,1,Done Net1,7,2016-04-29T08:02:47Z,3,10,396,1,8,0,0
CocoHekmatyar,1314080903237,25,1,Done Net2,10,2016-04-27T06:54:32Z,4,7,1726,0,21,0,0
CanaceYang,1314080903248,39,1,Done Net2,12,2016-04-27T07:02:12Z,11,23,362,262,11,2,0
xiaocong0323,1314080903203,122,1,Done Net2,20,2016-04-20T04:54:17Z,8,12,1395,637,21,3,0
ruifeng07555,null,279,1,Done Net2,9,2016-04-27T14:26:53Z,4,10,2565,0,33,0,0
chenqiuwen,1314080903105,287,1,Done Net1,2,2016-04-30T13:31:24Z,3,6,219,70,13,0,0
hjf1230,1314080903111,381,1,Done Net1,11,2016-04-27T12:38:48Z,5,6,1528,0,25,1,0
KnightCIQIANG,1314080903246,79,1,Done Net2,9,2016-04-27T03:16:21Z,4,8,643,0,15,0,0
zdngxueyin,1314080903210,132,1,Done Net2,9,2016-04-27T00:50:24Z,5,6,208,3,7,2,0
Lattal,null,137,1,,0,,0,0,0,0,0,0,0
xuhuanran,1314080903136,234,1,C Done Net1,3,2016-04-27T13:12:36Z,2,5,376,0,7,0,0
